#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   133   0.380330E+04  -0.422757E+02   0.257405E-03  -0.422757E+02   0.110663E+01  -0.121783E-05   0.257405E-03  -0.121783E-05   0.829819E-07
   134   0.383794E+04  -0.426635E+02   0.254939E-03  -0.426635E+02   0.110978E+01  -0.122363E-05   0.254939E-03  -0.122363E-05   0.824876E-07
   135   0.387253E+04  -0.430340E+02   0.252518E-03  -0.430340E+02   0.111244E+01  -0.122750E-05   0.252518E-03  -0.122750E-05   0.819973E-07
   136   0.390710E+04  -0.433867E+02   0.250139E-03  -0.433867E+02   0.111460E+01  -0.122954E-05   0.250139E-03  -0.122954E-05   0.815109E-07
   137   0.394162E+04  -0.437210E+02   0.247800E-03  -0.437210E+02   0.111626E+01  -0.122985E-05   0.247800E-03  -0.122985E-05   0.810285E-07
   138   0.397608E+04  -0.440366E+02   0.245501E-03  -0.440366E+02   0.111743E+01  -0.122853E-05   0.245501E-03  -0.122853E-05   0.805499E-07
   139   0.401047E+04  -0.443330E+02   0.243239E-03  -0.443330E+02   0.111810E+01  -0.122568E-05   0.243239E-03  -0.122568E-05   0.800751E-07
   140   0.404480E+04  -0.446099E+02   0.241013E-03  -0.446099E+02   0.111827E+01  -0.122139E-05   0.241013E-03  -0.122139E-05   0.796042E-07
   141   0.407905E+04  -0.448669E+02   0.238823E-03  -0.448669E+02   0.111796E+01  -0.121577E-05   0.238823E-03  -0.121577E-05   0.791371E-07
   142   0.411321E+04  -0.451034E+02   0.236665E-03  -0.451034E+02   0.111716E+01  -0.120892E-05   0.236665E-03  -0.120892E-05   0.786737E-07
   143   0.414728E+04  -0.453192E+02   0.234539E-03  -0.453192E+02   0.111586E+01  -0.120093E-05   0.234539E-03  -0.120093E-05   0.782141E-07
   144   0.418125E+04  -0.455138E+02   0.232444E-03  -0.455138E+02   0.111408E+01  -0.119191E-05   0.232444E-03  -0.119191E-05   0.777582E-07
   145   0.421510E+04  -0.456868E+02   0.230377E-03  -0.456868E+02   0.111180E+01  -0.118195E-05   0.230377E-03  -0.118195E-05   0.773060E-07
   146   0.424881E+04  -0.458379E+02   0.228337E-03  -0.458379E+02   0.110906E+01  -0.117116E-05   0.228337E-03  -0.117116E-05   0.768574E-07
   147   0.428238E+04  -0.459665E+02   0.226323E-03  -0.459665E+02   0.110584E+01  -0.115963E-05   0.226323E-03  -0.115963E-05   0.764124E-07
   148   0.431579E+04  -0.460724E+02   0.224333E-03  -0.460724E+02   0.110216E+01  -0.114745E-05   0.224333E-03  -0.114745E-05   0.759711E-07
   149   0.434903E+04  -0.461550E+02   0.222366E-03  -0.461550E+02   0.109802E+01  -0.113474E-05   0.222366E-03  -0.113474E-05   0.755333E-07
   150   0.438208E+04  -0.462141E+02   0.220420E-03  -0.462141E+02   0.109343E+01  -0.112159E-05   0.220420E-03  -0.112159E-05   0.750991E-07
   151   0.441492E+04  -0.462493E+02   0.218495E-03  -0.462493E+02   0.108839E+01  -0.110809E-05   0.218495E-03  -0.110809E-05   0.746684E-07
   152   0.444756E+04  -0.462602E+02   0.216588E-03  -0.462602E+02   0.108292E+01  -0.109426E-05   0.216588E-03  -0.109426E-05   0.742412E-07
   153   0.447999E+04  -0.462466E+02   0.214701E-03  -0.462466E+02   0.107702E+01  -0.108014E-05   0.214701E-03  -0.108014E-05   0.738174E-07
   154   0.451219E+04  -0.462084E+02   0.212834E-03  -0.462084E+02   0.107071E+01  -0.106574E-05   0.212834E-03  -0.106574E-05   0.733971E-07
   155   0.454417E+04  -0.461451E+02   0.210986E-03  -0.461451E+02   0.106400E+01  -0.105109E-05   0.210986E-03  -0.105109E-05   0.729803E-07
   156   0.457593E+04  -0.460566E+02   0.209156E-03  -0.460566E+02   0.105690E+01  -0.103621E-05   0.209156E-03  -0.103621E-05   0.725668E-07
   157   0.460745E+04  -0.459426E+02   0.207346E-03  -0.459426E+02   0.104942E+01  -0.102112E-05   0.207346E-03  -0.102112E-05   0.721567E-07
   158   0.463874E+04  -0.458029E+02   0.205555E-03  -0.458029E+02   0.104158E+01  -0.100584E-05   0.205555E-03  -0.100584E-05   0.717500E-07
   159   0.466978E+04  -0.456373E+02   0.203783E-03  -0.456373E+02   0.103339E+01  -0.990397E-06   0.203783E-03  -0.990397E-06   0.713466E-07
   160   0.470055E+04  -0.454455E+02   0.202030E-03  -0.454455E+02   0.102486E+01  -0.974808E-06   0.202030E-03  -0.974808E-06   0.709466E-07
   161   0.473105E+04  -0.452273E+02   0.200295E-03  -0.452273E+02   0.101601E+01  -0.959098E-06   0.200295E-03  -0.959098E-06   0.705498E-07
   162   0.476126E+04  -0.449827E+02   0.198578E-03  -0.449827E+02   0.100686E+01  -0.943287E-06   0.198578E-03  -0.943287E-06   0.701563E-07
   163   0.479118E+04  -0.447111E+02   0.196880E-03  -0.447111E+02   0.997432E+00  -0.927398E-06   0.196880E-03  -0.927398E-06   0.697661E-07
   164   0.482077E+04  -0.444127E+02   0.195200E-03  -0.444127E+02   0.987732E+00  -0.911452E-06   0.195200E-03  -0.911452E-06   0.693790E-07
