 a		phi		phidot		fde
    0.224631E-06    0.337289E+01   -0.352233E-13    0.699141E-14
    0.225357E-06    0.337289E+01   -0.355758E-13    0.708215E-14
    0.226085E-06    0.337289E+01   -0.359316E-13    0.717406E-14
    0.226815E-06    0.337289E+01   -0.362908E-13    0.726717E-14
    0.227547E-06    0.337289E+01   -0.366534E-13    0.736149E-14
    0.228282E-06    0.337289E+01   -0.370195E-13    0.745702E-14
    0.229019E-06    0.337289E+01   -0.373891E-13    0.755380E-14
    0.229759E-06    0.337289E+01   -0.377622E-13    0.765184E-14
    0.230501E-06    0.337289E+01   -0.381389E-13    0.775114E-14
    0.231245E-06    0.337289E+01   -0.385192E-13    0.785174E-14
    0.231992E-06    0.337289E+01   -0.389031E-13    0.795364E-14
    0.232741E-06    0.337289E+01   -0.392906E-13    0.805686E-14
    0.233493E-06    0.337289E+01   -0.396819E-13    0.816143E-14
    0.234247E-06    0.337289E+01   -0.400769E-13    0.826735E-14
    0.235003E-06    0.337289E+01   -0.404758E-13    0.837464E-14
    0.235762E-06    0.337289E+01   -0.408784E-13    0.848333E-14
    0.236524E-06    0.337289E+01   -0.412848E-13    0.859343E-14
    0.237288E-06    0.337289E+01   -0.416952E-13    0.870495E-14
    0.238054E-06    0.337289E+01   -0.421095E-13    0.881793E-14
    0.238823E-06    0.337289E+01   -0.425278E-13    0.893237E-14
    0.239594E-06    0.337289E+01   -0.429500E-13    0.904829E-14
    0.240368E-06    0.337289E+01   -0.433764E-13    0.916572E-14
    0.241144E-06    0.337289E+01   -0.438068E-13    0.928467E-14
    0.241923E-06    0.337289E+01   -0.442413E-13    0.940517E-14
    0.242704E-06    0.337289E+01   -0.446800E-13    0.952723E-14
    0.243488E-06    0.337289E+01   -0.451229E-13    0.965088E-14
    0.244274E-06    0.337289E+01   -0.455700E-13    0.977612E-14
    0.245063E-06    0.337289E+01   -0.460215E-13    0.990300E-14
    0.245854E-06    0.337289E+01   -0.464772E-13    0.100315E-13
    0.246648E-06    0.337289E+01   -0.469374E-13    0.101617E-13
    0.247445E-06    0.337289E+01   -0.474019E-13    0.102936E-13
    0.248244E-06    0.337289E+01   -0.478710E-13    0.104272E-13
    0.249046E-06    0.337289E+01   -0.483445E-13    0.105625E-13
    0.249850E-06    0.337289E+01   -0.488226E-13    0.106996E-13
    0.250657E-06    0.337289E+01   -0.493052E-13    0.108384E-13
    0.251466E-06    0.337289E+01   -0.497926E-13    0.109791E-13
    0.252279E-06    0.337289E+01   -0.502845E-13    0.111216E-13
    0.253093E-06    0.337289E+01   -0.507813E-13    0.112659E-13
    0.253911E-06    0.337289E+01   -0.512828E-13    0.114121E-13
    0.254731E-06    0.337289E+01   -0.517891E-13    0.115602E-13
    0.255553E-06    0.337289E+01   -0.523003E-13    0.117103E-13
    0.256379E-06    0.337289E+01   -0.528164E-13    0.118622E-13
    0.257207E-06    0.337289E+01   -0.533375E-13    0.120162E-13
    0.258037E-06    0.337289E+01   -0.538635E-13    0.121721E-13
    0.258871E-06    0.337289E+01   -0.543947E-13    0.123301E-13
    0.259707E-06    0.337289E+01   -0.549310E-13    0.124901E-13
    0.260545E-06    0.337289E+01   -0.554724E-13    0.126522E-13
    0.261387E-06    0.337289E+01   -0.560190E-13    0.128164E-13
    0.262231E-06    0.337289E+01   -0.565709E-13    0.129827E-13
    0.263078E-06    0.337289E+01   -0.571281E-13    0.131512E-13
    0.263927E-06    0.337289E+01   -0.576907E-13    0.133219E-13
    0.264780E-06    0.337289E+01   -0.582587E-13    0.134948E-13
    0.265635E-06    0.337289E+01   -0.588322E-13    0.136699E-13
    0.266493E-06    0.337289E+01   -0.594112E-13    0.138473E-13
    0.267353E-06    0.337289E+01   -0.599958E-13    0.140270E-13
    0.268217E-06    0.337289E+01   -0.605860E-13    0.142091E-13
    0.269083E-06    0.337289E+01   -0.611819E-13    0.143935E-13
    0.269952E-06    0.337289E+01   -0.617836E-13    0.145803E-13
    0.270824E-06    0.337289E+01   -0.623910E-13    0.147695E-13
    0.271698E-06    0.337289E+01   -0.630043E-13    0.149612E-13
    0.272576E-06    0.337289E+01   -0.636236E-13    0.151553E-13
    0.273456E-06    0.337289E+01   -0.642488E-13    0.153520E-13
    0.274339E-06    0.337289E+01   -0.648800E-13    0.155512E-13
