#    L    TT             EE             BB             TE          
   363   0.220435E+04   0.196951E+02   0.391148E-01   0.694532E+02
   364   0.218413E+04   0.198088E+02   0.392367E-01   0.677306E+02
   365   0.216434E+04   0.199194E+02   0.393587E-01   0.659899E+02
   366   0.214497E+04   0.200268E+02   0.394808E-01   0.642319E+02
   367   0.212603E+04   0.201311E+02   0.396030E-01   0.624572E+02
   368   0.210751E+04   0.202320E+02   0.397254E-01   0.606668E+02
   369   0.208942E+04   0.203298E+02   0.398479E-01   0.588614E+02
   370   0.207177E+04   0.204241E+02   0.399706E-01   0.570416E+02
   371   0.205455E+04   0.205152E+02   0.400935E-01   0.552084E+02
   372   0.203777E+04   0.206028E+02   0.402167E-01   0.533624E+02
   373   0.202142E+04   0.206869E+02   0.403401E-01   0.515044E+02
   374   0.200551E+04   0.207676E+02   0.404637E-01   0.496352E+02
   375   0.199004E+04   0.208448E+02   0.405877E-01   0.477554E+02
   376   0.197501E+04   0.209184E+02   0.407119E-01   0.458660E+02
   377   0.196042E+04   0.209884E+02   0.408365E-01   0.439675E+02
   378   0.194627E+04   0.210547E+02   0.409614E-01   0.420607E+02
   379   0.193256E+04   0.211173E+02   0.410867E-01   0.401464E+02
   380   0.191931E+04   0.211761E+02   0.412124E-01   0.382254E+02
   381   0.190649E+04   0.212312E+02   0.413384E-01   0.362983E+02
   382   0.189412E+04   0.212823E+02   0.414649E-01   0.343659E+02
   383   0.188220E+04   0.213296E+02   0.415919E-01   0.324290E+02
   384   0.187072E+04   0.213731E+02   0.417192E-01   0.304886E+02
   385   0.185968E+04   0.214127E+02   0.418471E-01   0.285453E+02
   386   0.184909E+04   0.214485E+02   0.419754E-01   0.266001E+02
   387   0.183894E+04   0.214805E+02   0.421043E-01   0.246537E+02
   388   0.182923E+04   0.215086E+02   0.422337E-01   0.227071E+02
   389   0.181995E+04   0.215328E+02   0.423636E-01   0.207609E+02
   390   0.181112E+04   0.215532E+02   0.424941E-01   0.188162E+02
   391   0.180272E+04   0.215697E+02   0.426251E-01   0.168735E+02
   392   0.179475E+04   0.215822E+02   0.427568E-01   0.149338E+02
   393   0.178722E+04   0.215909E+02   0.428890E-01   0.129978E+02
   394   0.178012E+04   0.215956E+02   0.430219E-01   0.110662E+02
