 a		phi		phidot		fde
    0.236524E-06    0.100000E+02    0.151096E-09    0.273776E-12
    0.237288E-06    0.100000E+02    0.152598E-09    0.277329E-12
    0.238054E-06    0.100000E+02    0.154114E-09    0.280928E-12
    0.238823E-06    0.100000E+02    0.155645E-09    0.284574E-12
    0.239594E-06    0.100000E+02    0.157191E-09    0.288267E-12
    0.240368E-06    0.100000E+02    0.158751E-09    0.292008E-12
    0.241144E-06    0.100000E+02    0.160326E-09    0.295798E-12
    0.241923E-06    0.100000E+02    0.161916E-09    0.299637E-12
    0.242704E-06    0.100000E+02    0.163522E-09    0.303525E-12
    0.243488E-06    0.100000E+02    0.165143E-09    0.307465E-12
    0.244274E-06    0.100000E+02    0.166779E-09    0.311455E-12
    0.245063E-06    0.100000E+02    0.168432E-09    0.315497E-12
    0.245854E-06    0.100000E+02    0.170100E-09    0.319591E-12
    0.246648E-06    0.100000E+02    0.171784E-09    0.323739E-12
    0.247445E-06    0.100000E+02    0.173484E-09    0.327941E-12
    0.248244E-06    0.100000E+02    0.175201E-09    0.332197E-12
    0.249046E-06    0.100000E+02    0.176934E-09    0.336508E-12
    0.249850E-06    0.100000E+02    0.178683E-09    0.340875E-12
    0.250657E-06    0.100000E+02    0.180450E-09    0.345299E-12
    0.251466E-06    0.100000E+02    0.182233E-09    0.349780E-12
    0.252279E-06    0.100000E+02    0.184034E-09    0.354320E-12
    0.253093E-06    0.100000E+02    0.185852E-09    0.358918E-12
    0.253911E-06    0.100000E+02    0.187687E-09    0.363576E-12
    0.254731E-06    0.100000E+02    0.189540E-09    0.368294E-12
    0.255553E-06    0.100000E+02    0.191411E-09    0.373074E-12
    0.256379E-06    0.100000E+02    0.193300E-09    0.377916E-12
    0.257207E-06    0.100000E+02    0.195207E-09    0.382820E-12
    0.258037E-06    0.100000E+02    0.197132E-09    0.387788E-12
    0.258871E-06    0.100000E+02    0.199076E-09    0.392821E-12
    0.259707E-06    0.100000E+02    0.201039E-09    0.397919E-12
    0.260545E-06    0.100000E+02    0.203021E-09    0.403083E-12
    0.261387E-06    0.100000E+02    0.205021E-09    0.408314E-12
    0.262231E-06    0.100000E+02    0.207041E-09    0.413613E-12
    0.263078E-06    0.100000E+02    0.209080E-09    0.418981E-12
    0.263927E-06    0.100000E+02    0.211139E-09    0.424419E-12
    0.264780E-06    0.100000E+02    0.213218E-09    0.429927E-12
    0.265635E-06    0.100000E+02    0.215317E-09    0.435506E-12
    0.266493E-06    0.100000E+02    0.217436E-09    0.441158E-12
    0.267353E-06    0.100000E+02    0.219576E-09    0.446883E-12
    0.268217E-06    0.100000E+02    0.221736E-09    0.452683E-12
    0.269083E-06    0.100000E+02    0.223917E-09    0.458558E-12
    0.269952E-06    0.100000E+02    0.226119E-09    0.464509E-12
    0.270824E-06    0.100000E+02    0.228342E-09    0.470537E-12
    0.271698E-06    0.100000E+02    0.230586E-09    0.476644E-12
    0.272576E-06    0.100000E+02    0.232853E-09    0.482829E-12
    0.273456E-06    0.100000E+02    0.235141E-09    0.489095E-12
    0.274339E-06    0.100000E+02    0.237451E-09    0.495443E-12
    0.275225E-06    0.100000E+02    0.239784E-09    0.501872E-12
    0.276114E-06    0.100000E+02    0.242139E-09    0.508386E-12
    0.277006E-06    0.100000E+02    0.244516E-09    0.514983E-12
    0.277900E-06    0.100000E+02    0.246917E-09    0.521667E-12
    0.278798E-06    0.100000E+02    0.249341E-09    0.528437E-12
    0.279698E-06    0.100000E+02    0.251788E-09    0.535294E-12
    0.280601E-06    0.100000E+02    0.254259E-09    0.542241E-12
    0.281507E-06    0.100000E+02    0.256754E-09    0.549278E-12
    0.282417E-06    0.100000E+02    0.259273E-09    0.556407E-12
    0.283329E-06    0.100000E+02    0.261816E-09    0.563627E-12
    0.284244E-06    0.100000E+02    0.264384E-09    0.570942E-12
    0.285162E-06    0.100000E+02    0.266976E-09    0.578351E-12
    0.286083E-06    0.100000E+02    0.269594E-09    0.585857E-12
    0.287006E-06    0.100000E+02    0.272237E-09    0.593460E-12
    0.287933E-06    0.100000E+02    0.274905E-09    0.601162E-12
    0.288863E-06    0.100000E+02    0.277599E-09    0.608963E-12
    0.289796E-06    0.100000E+02    0.280319E-09    0.616866E-12
    0.290732E-06    0.100000E+02    0.283066E-09    0.624872E-12
    0.291671E-06    0.100000E+02    0.285839E-09    0.632981E-12
    0.292613E-06    0.100000E+02    0.288639E-09    0.641195E-12
    0.293558E-06    0.100000E+02    0.291466E-09    0.649516E-12
    0.294506E-06    0.100000E+02    0.294320E-09    0.657946E-12
    0.295457E-06    0.100000E+02    0.297202E-09    0.666484E-12
    0.296411E-06    0.100000E+02    0.300112E-09    0.675133E-12
    0.297368E-06    0.100000E+02    0.303050E-09    0.683895E-12
    0.298329E-06    0.100000E+02    0.306016E-09    0.692770E-12
    0.299292E-06    0.100000E+02    0.309011E-09    0.701760E-12
    0.300259E-06    0.100000E+02    0.312035E-09    0.710867E-12
    0.301228E-06    0.100000E+02    0.315088E-09    0.720093E-12
    0.302201E-06    0.100000E+02    0.318171E-09    0.729438E-12
    0.303177E-06    0.100000E+02    0.321283E-09    0.738904E-12
    0.304156E-06    0.100000E+02    0.324426E-09    0.748493E-12
    0.305138E-06    0.100000E+02    0.327599E-09    0.758206E-12
    0.306124E-06    0.100000E+02    0.330803E-09    0.768046E-12
    0.307112E-06    0.100000E+02    0.334038E-09    0.778013E-12
    0.308104E-06    0.100000E+02    0.337304E-09    0.788110E-12
    0.309099E-06    0.100000E+02    0.340602E-09    0.798337E-12
    0.310098E-06    0.100000E+02    0.343931E-09    0.808697E-12
    0.311099E-06    0.100000E+02    0.347293E-09    0.819192E-12
    0.312104E-06    0.100000E+02    0.350688E-09    0.829823E-12
    0.313112E-06    0.100000E+02    0.354115E-09    0.840592E-12
    0.314123E-06    0.100000E+02    0.357576E-09    0.851501E-12
    0.315137E-06    0.100000E+02    0.361070E-09    0.862551E-12
    0.316155E-06    0.100000E+02    0.364597E-09    0.873744E-12
    0.317176E-06    0.100000E+02    0.368159E-09    0.885083E-12
    0.318200E-06    0.100000E+02    0.371756E-09    0.896569E-12
    0.319228E-06    0.100000E+02    0.375387E-09    0.908204E-12
    0.320259E-06    0.100000E+02    0.379054E-09    0.919990E-12
    0.321293E-06    0.100000E+02    0.382756E-09    0.931929E-12
    0.322331E-06    0.100000E+02    0.386493E-09    0.944023E-12
    0.323372E-06    0.100000E+02    0.390268E-09    0.956274E-12
    0.324416E-06    0.100000E+02    0.394078E-09    0.968683E-12
    0.325464E-06    0.100000E+02    0.397926E-09    0.981254E-12
    0.326515E-06    0.100000E+02    0.401811E-09    0.993988E-12
    0.327569E-06    0.100000E+02    0.405733E-09    0.100689E-11
    0.328627E-06    0.100000E+02    0.409693E-09    0.101995E-11
    0.329688E-06    0.100000E+02    0.413692E-09    0.103319E-11
    0.330753E-06    0.100000E+02    0.417730E-09    0.104660E-11
    0.331821E-06    0.100000E+02    0.421807E-09    0.106018E-11
    0.332893E-06    0.100000E+02    0.425923E-09    0.107394E-11
    0.333968E-06    0.100000E+02    0.430079E-09    0.108787E-11
    0.335046E-06    0.100000E+02    0.434275E-09    0.110199E-11
    0.336128E-06    0.100000E+02    0.438512E-09    0.111629E-11
    0.337214E-06    0.100000E+02    0.442790E-09    0.113078E-11
    0.338303E-06    0.100000E+02    0.447110E-09    0.114545E-11
    0.339396E-06    0.100000E+02    0.451471E-09    0.116032E-11
    0.340492E-06    0.100000E+02    0.455875E-09    0.117537E-11
    0.341591E-06    0.100000E+02    0.460322E-09    0.119063E-11
