 a		phi		phidot		fde
    0.315137E-06    0.156033E+01   -0.451042E-14    0.858916E-15
    0.316155E-06    0.156033E+01   -0.455449E-14    0.870062E-15
    0.317176E-06    0.156033E+01   -0.459899E-14    0.881353E-15
    0.318200E-06    0.156033E+01   -0.464392E-14    0.892791E-15
    0.319228E-06    0.156033E+01   -0.468928E-14    0.904377E-15
    0.320259E-06    0.156033E+01   -0.473508E-14    0.916113E-15
    0.321293E-06    0.156033E+01   -0.478132E-14    0.928002E-15
    0.322331E-06    0.156033E+01   -0.482802E-14    0.940045E-15
    0.323372E-06    0.156033E+01   -0.487516E-14    0.952244E-15
    0.324416E-06    0.156033E+01   -0.492276E-14    0.964601E-15
    0.325464E-06    0.156033E+01   -0.497082E-14    0.977119E-15
    0.326515E-06    0.156033E+01   -0.501935E-14    0.989799E-15
    0.327569E-06    0.156033E+01   -0.506835E-14    0.100264E-14
    0.328627E-06    0.156033E+01   -0.511783E-14    0.101566E-14
    0.329688E-06    0.156033E+01   -0.516778E-14    0.102884E-14
    0.330753E-06    0.156033E+01   -0.521821E-14    0.104219E-14
    0.331821E-06    0.156033E+01   -0.526914E-14    0.105571E-14
    0.332893E-06    0.156033E+01   -0.532056E-14    0.106941E-14
    0.333968E-06    0.156033E+01   -0.537248E-14    0.108329E-14
    0.335046E-06    0.156033E+01   -0.542490E-14    0.109735E-14
    0.336128E-06    0.156033E+01   -0.547783E-14    0.111159E-14
    0.337214E-06    0.156033E+01   -0.553127E-14    0.112601E-14
    0.338303E-06    0.156033E+01   -0.558523E-14    0.114063E-14
    0.339396E-06    0.156033E+01   -0.563971E-14    0.115543E-14
    0.340492E-06    0.156033E+01   -0.569472E-14    0.117042E-14
    0.341591E-06    0.156033E+01   -0.575026E-14    0.118561E-14
    0.342694E-06    0.156033E+01   -0.580635E-14    0.120100E-14
    0.343801E-06    0.156033E+01   -0.586297E-14    0.121658E-14
    0.344911E-06    0.156033E+01   -0.592015E-14    0.123237E-14
    0.346025E-06    0.156033E+01   -0.597788E-14    0.124836E-14
    0.347143E-06    0.156033E+01   -0.603617E-14    0.126456E-14
    0.348264E-06    0.156033E+01   -0.609502E-14    0.128097E-14
    0.349389E-06    0.156033E+01   -0.615445E-14    0.129759E-14
    0.350517E-06    0.156033E+01   -0.621445E-14    0.131443E-14
    0.351649E-06    0.156033E+01   -0.627503E-14    0.133149E-14
    0.352785E-06    0.156033E+01   -0.633620E-14    0.134877E-14
    0.353924E-06    0.156033E+01   -0.639797E-14    0.136627E-14
    0.355067E-06    0.156033E+01   -0.646033E-14    0.138400E-14
    0.356213E-06    0.156033E+01   -0.652330E-14    0.140196E-14
    0.357364E-06    0.156033E+01   -0.658688E-14    0.142015E-14
    0.358518E-06    0.156033E+01   -0.665107E-14    0.143858E-14
    0.359676E-06    0.156033E+01   -0.671589E-14    0.145725E-14
    0.360837E-06    0.156033E+01   -0.678134E-14    0.147616E-14
    0.362003E-06    0.156033E+01   -0.684742E-14    0.149532E-14
    0.363172E-06    0.156033E+01   -0.691414E-14    0.151472E-14
    0.364345E-06    0.156033E+01   -0.698151E-14    0.153438E-14
    0.365521E-06    0.156033E+01   -0.704953E-14    0.155429E-14
    0.366702E-06    0.156033E+01   -0.711822E-14    0.157446E-14
    0.367886E-06    0.156033E+01   -0.718756E-14    0.159489E-14
    0.369074E-06    0.156033E+01   -0.725759E-14    0.161559E-14
    0.370266E-06    0.156033E+01   -0.732829E-14    0.163655E-14
    0.371462E-06    0.156033E+01   -0.739968E-14    0.165779E-14
    0.372661E-06    0.156033E+01   -0.747176E-14    0.167930E-14
    0.373865E-06    0.156033E+01   -0.754453E-14    0.170109E-14
